Day,Blockchain
9/15/17,30
9/16/17,20
9/17/17,20
9/18/17,33
9/19/17,29
9/20/17,31
9/21/17,33
9/22/17,28
9/23/17,20
9/24/17,19
9/25/17,30
9/26/17,31
9/27/17,31
9/28/17,31
9/29/17,28
9/30/17,19
10/1/17,20
10/2/17,30
10/3/17,32
10/4/17,32
10/5/17,30
10/6/17,29
10/7/17,20
10/8/17,22
10/9/17,31
10/10/17,36
10/11/17,35
10/12/17,38
10/13/17,37
10/14/17,27
10/15/17,27
10/16/17,39
10/17/17,41
10/18/17,39
10/19/17,37
10/20/17,36
10/21/17,30
10/22/17,27
10/23/17,40
10/24/17,42
10/25/17,40
10/26/17,39
10/27/17,39
10/28/17,27
10/29/17,30
10/30/17,38
10/31/17,38
11/1/17,40
11/2/17,45
11/3/17,45
11/4/17,35
11/5/17,32
11/6/17,45
11/7/17,46
11/8/17,45
11/9/17,47
11/10/17,39
11/11/17,33
11/12/17,39
11/13/17,44
11/14/17,46
11/15/17,45
11/16/17,46
11/17/17,42
11/18/17,30
11/19/17,31
11/20/17,44
11/21/17,49
11/22/17,47
11/23/17,41
11/24/17,40
11/25/17,33
11/26/17,38
11/27/17,57
11/28/17,61
11/29/17,73
11/30/17,63
12/1/17,57
12/2/17,45
12/3/17,44
12/4/17,62
12/5/17,64
12/6/17,71
12/7/17,100
12/8/17,88
12/9/17,66
12/10/17,56
12/11/17,75
12/12/17,89
12/13/17,80
12/14/17,73
12/15/17,72
12/16/17,60
12/17/17,65
12/18/17,76
12/19/17,87
12/20/17,85
12/21/17,92
12/22/17,87
12/23/17,65
12/24/17,51
12/25/17,53
12/26/17,60
12/27/17,67
12/28/17,62
12/29/17,57
12/30/17,47
12/31/17,42
1/1/18,42
1/2/18,62
1/3/18,70
1/4/18,72
1/5/18,72
1/6/18,56
1/7/18,58
1/8/18,71
1/9/18,75
1/10/18,89
1/11/18,78
1/12/18,70
1/13/18,57
1/14/18,56
1/15/18,61
1/16/18,70
1/17/18,69
1/18/18,71
1/19/18,63
1/20/18,50
1/21/18,49
1/22/18,61
1/23/18,62
1/24/18,60
1/25/18,60
1/26/18,53
1/27/18,39
1/28/18,46
1/29/18,60
1/30/18,55
1/31/18,52
2/1/18,56
2/2/18,52
2/3/18,38
2/4/18,36
2/5/18,48
2/6/18,51
2/7/18,51
2/8/18,49
2/9/18,47
2/10/18,33
2/11/18,32
2/12/18,43
2/13/18,47
2/14/18,45
2/15/18,51
2/16/18,47
2/17/18,34
2/18/18,35
2/19/18,49
2/20/18,52
2/21/18,51
2/22/18,49
2/23/18,44
2/24/18,33
2/25/18,33
2/26/18,45
2/27/18,48
2/28/18,46
3/1/18,45
3/2/18,38
3/3/18,30
3/4/18,31
3/5/18,43
3/6/18,46
3/7/18,45
3/8/18,42
3/9/18,41
3/10/18,28
3/11/18,30
3/12/18,45
3/13/18,47
3/14/18,44
3/15/18,43