,Day,Negative,Bitcoin
1,2017-09-15,17.666666666666668,18
2,2017-09-16,13.222222222222221,12
3,2017-09-17,9.0,10
4,2017-09-18,5.555555555555555,11
5,2017-09-19,10.333333333333334,11
6,2017-09-20,8.88888888888889,9
7,2017-09-21,9.88888888888889,10
8,2017-09-22,5.111111111111111,9
9,2017-09-23,7.444444444444445,7
10,2017-09-24,4.944444444444445,7
11,2017-09-25,3.3333333333333335,8
12,2017-09-26,5.111111111111111,8
13,2017-09-27,10.333333333333334,8
14,2017-09-28,10.666666666666666,8
15,2017-09-29,6.166666666666667,8
16,2017-09-30,4.777777777777778,7
17,2017-10-01,7.833333333333333,7
18,2017-10-02,8.222222222222221,8
19,2017-10-03,3.888888888888889,8
20,2017-10-04,6.666666666666667,7
21,2017-10-05,8.333333333333334,8
22,2017-10-06,9.88888888888889,7
23,2017-10-07,7.944444444444445,7
24,2017-10-08,7.777777777777778,8
25,2017-10-09,7.0,9
26,2017-10-10,9.777777777777779,10
27,2017-10-11,10.222222222222221,9
28,2017-10-12,15.777777777777779,15
29,2017-10-13,13.11111111111111,18
30,2017-10-14,7.444444444444445,12
31,2017-10-15,11.11111111111111,11
32,2017-10-16,11.11111111111111,11
33,2017-10-17,9.11111111111111,11
34,2017-10-18,7.666666666666667,12
35,2017-10-19,10.0,11
36,2017-10-20,9.0,13
37,2017-10-21,10.666666666666666,14
38,2017-10-22,11.222222222222221,12
39,2017-10-23,8.88888888888889,14
40,2017-10-24,12.88888888888889,15
41,2017-10-25,11.0,13
42,2017-10-26,10.666666666666666,13
43,2017-10-27,10.777777777777779,11
44,2017-10-28,5.666666666666667,10
45,2017-10-29,10.0,10
46,2017-10-30,7.555555555555555,13
47,2017-10-31,10.555555555555555,14
48,2017-11-01,17.88888888888889,18
49,2017-11-02,18.444444444444443,24
50,2017-11-03,11.88888888888889,21
51,2017-11-04,8.555555555555555,17
52,2017-11-05,11.11111111111111,17
53,2017-11-06,13.88888888888889,17
54,2017-11-07,10.0,16
55,2017-11-08,15.333333333333334,18
56,2017-11-09,11.777777777777779,16
57,2017-11-10,19.77777777777778,20
58,2017-11-11,13.555555555555555,19
59,2017-11-12,19.77777777777778,24
60,2017-11-13,12.88888888888889,22
61,2017-11-14,15.666666666666666,17
62,2017-11-15,16.77777777777778,17
63,2017-11-16,13.0,18
64,2017-11-17,18.333333333333332,20
65,2017-11-18,8.777777777777779,15
66,2017-11-19,13.222222222222221,15
67,2017-11-20,16.444444444444443,19
68,2017-11-21,20.555555555555557,20
69,2017-11-22,13.88888888888889,17
70,2017-11-23,12.88888888888889,16
71,2017-11-24,14.0,15
72,2017-11-25,15.222222222222221,16
73,2017-11-26,17.0,24
74,2017-11-27,29.77777777777778,33
75,2017-11-28,31.77777777777778,37
76,2017-11-29,42.44444444444444,61
77,2017-11-30,33.666666666666664,50
78,2017-12-01,27.88888888888889,37
79,2017-12-02,17.444444444444443,30
80,2017-12-03,27.333333333333332,31
81,2017-12-04,26.88888888888889,35
82,2017-12-05,30.0,36
83,2017-12-06,31.0,47
84,2017-12-07,68.44444444444444,96
85,2017-12-08,57.22222222222222,87
86,2017-12-09,34.0,57
87,2017-12-10,32.666666666666664,54
88,2017-12-11,39.77777777777778,64
89,2017-12-12,44.44444444444444,58
90,2017-12-13,38.44444444444444,53
91,2017-12-14,38.55555555555556,47
92,2017-12-15,32.666666666666664,43
93,2017-12-16,39.888888888888886,41
94,2017-12-17,26.77777777777778,47
95,2017-12-18,34.44444444444444,48
96,2017-12-19,49.44444444444444,50
97,2017-12-20,44.888888888888886,66
98,2017-12-21,38.22222222222222,52
99,2017-12-22,59.44444444444444,100
100,2017-12-23,28.77777777777778,63
101,2017-12-24,25.444444444444443,48
102,2017-12-25,19.22222222222222,40
103,2017-12-26,24.333333333333332,40
104,2017-12-27,18.88888888888889,38
105,2017-12-28,22.333333333333332,38
106,2017-12-29,18.11111111111111,32
107,2017-12-30,25.0,33
108,2017-12-31,17.0,27
109,2018-01-01,12.666666666666666,26
110,2018-01-02,17.333333333333332,31
111,2018-01-03,20.88888888888889,31
112,2018-01-04,20.77777777777778,30
113,2018-01-05,22.333333333333332,30
114,2018-01-06,20.666666666666668,25
115,2018-01-07,16.0,27
116,2018-01-08,19.77777777777778,29
117,2018-01-09,18.666666666666668,28
118,2018-01-10,23.444444444444443,29
119,2018-01-11,22.555555555555557,32
120,2018-01-12,21.333333333333332,27
121,2018-01-13,18.11111111111111,23
122,2018-01-14,15.222222222222221,21
123,2018-01-15,15.88888888888889,22
124,2018-01-16,35.77777777777778,43
125,2018-01-17,56.333333333333336,57
126,2018-01-18,22.444444444444443,40
127,2018-01-19,27.444444444444443,29
128,2018-01-20,18.666666666666668,24
129,2018-01-21,17.555555555555557,23
130,2018-01-22,18.11111111111111,26
131,2018-01-23,16.0,25
132,2018-01-24,12.333333333333334,23
133,2018-01-25,17.333333333333332,22
134,2018-01-26,11.777777777777779,23
135,2018-01-27,16.555555555555557,19
136,2018-01-28,9.88888888888889,18
137,2018-01-29,18.666666666666668,18
138,2018-01-30,18.444444444444443,21
139,2018-01-31,15.444444444444445,22
140,2018-02-01,32.22222222222222,29
141,2018-02-02,34.333333333333336,38
142,2018-02-03,16.11111111111111,25
143,2018-02-04,15.11111111111111,21
144,2018-02-05,29.444444444444443,37
145,2018-02-06,38.111111111111114,46
146,2018-02-07,14.88888888888889,30
147,2018-02-08,16.555555555555557,24
148,2018-02-09,18.22222222222222,22
149,2018-02-10,11.0,18
150,2018-02-11,10.0,16
151,2018-02-12,13.222222222222221,18
152,2018-02-13,13.444444444444445,16
153,2018-02-14,8.777777777777779,16
154,2018-02-15,11.555555555555555,18
155,2018-02-16,11.444444444444445,16
156,2018-02-17,14.88888888888889,15
157,2018-02-18,8.0,16
158,2018-02-19,8.444444444444445,15
159,2018-02-20,10.444444444444445,16
160,2018-02-21,9.222222222222221,16
161,2018-02-22,9.88888888888889,15
162,2018-02-23,6.333333333333333,14
163,2018-02-24,8.666666666666666,12
164,2018-02-25,8.555555555555555,11
165,2018-02-26,7.555555555555555,13
166,2018-02-27,7.555555555555555,13
167,2018-02-28,8.777777777777779,12
168,2018-03-01,5.0,11
169,2018-03-02,9.88888888888889,11
170,2018-03-03,7.0,11
171,2018-03-04,4.333333333333333,10
172,2018-03-05,8.222222222222221,11
173,2018-03-06,7.444444444444445,11
174,2018-03-07,6.555555555555555,13
175,2018-03-08,8.0,13
176,2018-03-09,10.333333333333334,14
177,2018-03-10,3.4444444444444446,10
178,2018-03-11,4.0,10
179,2018-03-12,10.11111111111111,11
180,2018-03-13,8.88888888888889,10
181,2018-03-14,8.11111111111111,12
182,2018-03-15,14.777777777777779,14
