Day,coin market cap
9/15/17,19
9/16/17,15
9/17/17,9
9/18/17,17
9/19/17,9
9/20/17,11
9/21/17,10
9/22/17,8
9/23/17,11
9/24/17,7
9/25/17,9
9/26/17,11
9/27/17,11
9/28/17,11
9/29/17,8
9/30/17,11
10/1/17,14
10/2/17,14
10/3/17,12
10/4/17,9
10/5/17,11
10/6/17,10
10/7/17,8
10/8/17,11
10/9/17,11
10/10/17,9
10/11/17,12
10/12/17,11
10/13/17,19
10/14/17,17
10/15/17,12
10/16/17,12
10/17/17,12
10/18/17,9
10/19/17,12
10/20/17,14
10/21/17,9
10/22/17,10
10/23/17,12
10/24/17,12
10/25/17,9
10/26/17,13
10/27/17,11
10/28/17,10
10/29/17,11
10/30/17,13
10/31/17,14
11/1/17,15
11/2/17,21
11/3/17,16
11/4/17,14
11/5/17,10
11/6/17,13
11/7/17,14
11/8/17,17
11/9/17,16
11/10/17,15
11/11/17,21
11/12/17,26
11/13/17,18
11/14/17,19
11/15/17,18
11/16/17,17
11/17/17,14
11/18/17,14
11/19/17,16
11/20/17,19
11/21/17,20
11/22/17,17
11/23/17,19
11/24/17,17
11/25/17,18
11/26/17,21
11/27/17,19
11/28/17,31
11/29/17,34
11/30/17,30
12/1/17,25
12/2/17,20
12/3/17,23
12/4/17,30
12/5/17,31
12/6/17,37
12/7/17,47
12/8/17,46
12/9/17,32
12/10/17,32
12/11/17,35
12/12/17,52
12/13/17,58
12/14/17,49
12/15/17,44
12/16/17,42
12/17/17,53
12/18/17,54
12/19/17,63
12/20/17,59
12/21/17,71
12/22/17,86
12/23/17,64
12/24/17,57
12/25/17,55
12/26/17,54
12/27/17,60
12/28/17,59
12/29/17,66
12/30/17,77
12/31/17,72
1/1/18,64
1/2/18,77
1/3/18,85
1/4/18,100
1/5/18,95
1/6/18,86
1/7/18,89
1/8/18,89
1/9/18,74
1/10/18,80
1/11/18,81
1/12/18,69
1/13/18,72
1/14/18,55
1/15/18,59
1/16/18,83
1/17/18,87
1/18/18,75
1/19/18,50
1/20/18,57
1/21/18,44
1/22/18,48
1/23/18,49
1/24/18,45
1/25/18,41
1/26/18,41
1/27/18,35
1/28/18,40
1/29/18,37
1/30/18,36
1/31/18,41
2/1/18,41
2/2/18,55
2/3/18,36
2/4/18,29
2/5/18,40
2/6/18,46
2/7/18,41
2/8/18,37
2/9/18,35
2/10/18,36
2/11/18,26
2/12/18,30
2/13/18,26
2/14/18,30
2/15/18,33
2/16/18,32
2/17/18,33
2/18/18,28
2/19/18,33
2/20/18,29
2/21/18,26
2/22/18,24
2/23/18,26
2/24/18,20
2/25/18,21
2/26/18,28
2/27/18,20
2/28/18,22
3/1/18,25
3/2/18,26
3/3/18,21
3/4/18,25
3/5/18,22
3/6/18,20
3/7/18,21
3/8/18,22
3/9/18,20
3/10/18,21
3/11/18,20
3/12/18,21
3/13/18,19
3/14/18,20
3/15/18,21