Day,coinbase
9/15/17,8
9/16/17,5
9/17/17,4
9/18/17,6
9/19/17,5
9/20/17,4
9/21/17,4
9/22/17,4
9/23/17,4
9/24/17,3
9/25/17,4
9/26/17,4
9/27/17,5
9/28/17,4
9/29/17,4
9/30/17,4
10/1/17,4
10/2/17,4
10/3/17,4
10/4/17,4
10/5/17,4
10/6/17,4
10/7/17,3
10/8/17,4
10/9/17,5
10/10/17,5
10/11/17,4
10/12/17,8
10/13/17,9
10/14/17,7
10/15/17,7
10/16/17,7
10/17/17,7
10/18/17,6
10/19/17,7
10/20/17,7
10/21/17,7
10/22/17,6
10/23/17,8
10/24/17,7
10/25/17,7
10/26/17,6
10/27/17,6
10/28/17,5
10/29/17,5
10/30/17,7
10/31/17,8
11/1/17,10
11/2/17,14
11/3/17,12
11/4/17,10
11/5/17,10
11/6/17,9
11/7/17,8
11/8/17,11
11/9/17,12
11/10/17,11
11/11/17,9
11/12/17,9
11/13/17,10
11/14/17,9
11/15/17,10
11/16/17,9
11/17/17,13
11/18/17,9
11/19/17,9
11/20/17,11
11/21/17,12
11/22/17,10
11/23/17,9
11/24/17,10
11/25/17,13
11/26/17,17
11/27/17,22
11/28/17,26
11/29/17,55
11/30/17,39
12/1/17,27
12/2/17,21
12/3/17,20
12/4/17,23
12/5/17,26
12/6/17,38
12/7/17,78
12/8/17,61
12/9/17,49
12/10/17,35
12/11/17,48
12/12/17,93
12/13/17,77
12/14/17,64
12/15/17,51
12/16/17,45
12/17/17,49
12/18/17,45
12/19/17,56
12/20/17,100
12/21/17,62
12/22/17,76
12/23/17,47
12/24/17,34
12/25/17,30
12/26/17,33
12/27/17,37
12/28/17,34
12/29/17,42
12/30/17,46
12/31/17,32
1/1/18,26
1/2/18,45
1/3/18,55
1/4/18,69
1/5/18,56
1/6/18,42
1/7/18,42
1/8/18,41
1/9/18,36
1/10/18,37
1/11/18,32
1/12/18,28
1/13/18,28
1/14/18,24
1/15/18,22
1/16/18,31
1/17/18,34
1/18/18,28
1/19/18,19
1/20/18,18
1/21/18,16
1/22/18,17
1/23/18,16
1/24/18,15
1/25/18,15
1/26/18,15
1/27/18,12
1/28/18,14
1/29/18,13
1/30/18,13
1/31/18,12
2/1/18,15
2/2/18,18
2/3/18,13
2/4/18,11
2/5/18,14
2/6/18,16
2/7/18,14
2/8/18,11
2/9/18,11
2/10/18,10
2/11/18,8
2/12/18,10
2/13/18,9
2/14/18,11
2/15/18,14
2/16/18,15
2/17/18,13
2/18/18,12
2/19/18,11
2/20/18,13
2/21/18,10
2/22/18,9
2/23/18,8
2/24/18,8
2/25/18,7
2/26/18,9
2/27/18,7
2/28/18,8
3/1/18,7
3/2/18,7
3/3/18,7
3/4/18,7
3/5/18,12
3/6/18,11
3/7/18,11
3/8/18,7
3/9/18,7
3/10/18,6
3/11/18,6
3/12/18,6
3/13/18,6
3/14/18,8
3/15/18,7