Day,Kraken
9/15/17,23
9/16/17,19
9/17/17,16
9/18/17,16
9/19/17,17
9/20/17,15
9/21/17,17
9/22/17,16
9/23/17,15
9/24/17,16
9/25/17,16
9/26/17,15
9/27/17,18
9/28/17,17
9/29/17,18
9/30/17,18
10/1/17,17
10/2/17,16
10/3/17,17
10/4/17,17
10/5/17,17
10/6/17,17
10/7/17,19
10/8/17,20
10/9/17,18
10/10/17,18
10/11/17,18
10/12/17,20
10/13/17,23
10/14/17,23
10/15/17,21
10/16/17,20
10/17/17,20
10/18/17,20
10/19/17,20
10/20/17,20
10/21/17,24
10/22/17,19
10/23/17,21
10/24/17,22
10/25/17,20
10/26/17,20
10/27/17,18
10/28/17,17
10/29/17,17
10/30/17,18
10/31/17,19
11/1/17,20
11/2/17,26
11/3/17,24
11/4/17,23
11/5/17,22
11/6/17,22
11/7/17,20
11/8/17,28
11/9/17,22
11/10/17,26
11/11/17,28
11/12/17,30
11/13/17,28
11/14/17,23
11/15/17,23
11/16/17,24
11/17/17,24
11/18/17,23
11/19/17,24
11/20/17,25
11/21/17,27
11/22/17,25
11/23/17,27
11/24/17,31
11/25/17,29
11/26/17,33
11/27/17,32
11/28/17,36
11/29/17,46
11/30/17,34
12/1/17,32
12/2/17,30
12/3/17,33
12/4/17,33
12/5/17,34
12/6/17,42
12/7/17,50
12/8/17,47
12/9/17,43
12/10/17,36
12/11/17,34
12/12/17,58
12/13/17,68
12/14/17,75
12/15/17,59
12/16/17,50
12/17/17,49
12/18/17,47
12/19/17,56
12/20/17,53
12/21/17,62
12/22/17,60
12/23/17,50
12/24/17,46
12/25/17,45
12/26/17,42
12/27/17,47
12/28/17,46
12/29/17,64
12/30/17,62
12/31/17,46
1/1/18,42
1/2/18,54
1/3/18,71
1/4/18,82
1/5/18,60
1/6/18,55
1/7/18,53
1/8/18,50
1/9/18,44
1/10/18,45
1/11/18,67
1/12/18,100
1/13/18,99
1/14/18,46
1/15/18,38
1/16/18,36
1/17/18,37
1/18/18,36
1/19/18,32
1/20/18,29
1/21/18,26
1/22/18,24
1/23/18,23
1/24/18,24
1/25/18,22
1/26/18,24
1/27/18,25
1/28/18,24
1/29/18,25
1/30/18,22
1/31/18,21
2/1/18,23
2/2/18,26
2/3/18,23
2/4/18,21
2/5/18,20
2/6/18,23
2/7/18,22
2/8/18,21
2/9/18,23
2/10/18,23
2/11/18,20
2/12/18,19
2/13/18,20
2/14/18,19
2/15/18,21
2/16/18,22
2/17/18,23
2/18/18,20
2/19/18,20
2/20/18,19
2/21/18,19
2/22/18,18
2/23/18,19
2/24/18,20
2/25/18,18
2/26/18,17
2/27/18,18
2/28/18,18
3/1/18,17
3/2/18,18
3/3/18,20
3/4/18,19
3/5/18,18
3/6/18,18
3/7/18,19
3/8/18,16
3/9/18,18
3/10/18,21
3/11/18,19
3/12/18,16
3/13/18,17
3/14/18,18
3/15/18,19